"","soc_uni","soc","occupation","id","new_descript","word","definition"
"1545","51-9083","51-9083.00","Ophthalmic Laboratory Technicians","10528","Put lenses into frames or equipment. Attach lenses and make sure they are lined up. Use equipment and hand tools.","lenses","Clear glass or plastic used to improve eyesight."
"1546","51-9083","51-9083.00","Ophthalmic Laboratory Technicians","10535","Read doctors’ orders and work orders. Check used eyewear to find measurements and other info. Work with lenses, contact lenses, and eyeglass lenses.","lenses","Clear glass or plastic used to improve eyesight."
"1547","51-9083","51-9083.00","Ophthalmic Laboratory Technicians","10535","Read doctors’ orders and work orders. Check used eyewear to find measurements and other info. Work with lenses, contact lenses, and eyeglass lenses.","measurements","Things you can measure in numbers, like size, length, weight, and more."
"1548","51-9111","51-9111.00","Packaging and Filling Machine Operators and Tenders"," 3142","Put labels on finished and packaged items. Cut stencils. Use stencils to write info on containers. Info might include lot numbers or addresses.","stencil","A sheet with cut-out patterns, letters, numbers, and words."
"1549","51-9111","51-9111.00","Packaging and Filling Machine Operators and Tenders"," 3134","Sort, grade, weigh, and check products. Check and adjust weights or measurements to meet standards.","measurements","Things you can measure in numbers, like size, length, weight, and more."
"1550","51-9111","51-9111.00","Packaging and Filling Machine Operators and Tenders"," 3137","Stack finished and packaged items. Wrap each item to protect it. Pack items in cartons or containers.","stack","To put in a neat pile."
"1551","51-9121","51-9121.00","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","12522","Hold or point spray guns to spray products.",NA,NA
"1552","51-9121","51-9121.00","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","12514","Test out equipment ahead of time. Make sure it works right.",NA,NA
"1553","51-9121","51-9121.00","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","12507","Set up and run machines to paint or coat products. Use coatings like silver and copper mixes, rubber, paint, oil, and more.","coat","To cover the outside of something."
"1554","51-9121","51-9121.00","Coating, Painting, and Spraying Machine Setters, Operators, and Tenders","12507","Set up and run machines to paint or coat products. Use coatings like silver and copper mixes, rubber, paint, oil, and more.","coating","A thin layer to cover the outside of something. Examples"
"1555","51-9122","51-9122.00","Painters, Transportation Equipment","20685","Take extra parts off of vehicles. Those parts include mirrors or metal trim. Cover other parts with tape or paper to protect them from paint.","parts","Pieces needed to make a whole machine work. Example"
"1556","51-9122","51-9122.00","Painters, Transportation Equipment","20685","Take extra parts off of vehicles. Those parts include mirrors or metal trim. Cover other parts with tape or paper to protect them from paint.","vehicle","A machine that moves or carries people or things, such as a truck, car, or tractor."
"1557","51-9122","51-9122.00","Painters, Transportation Equipment","20688","Clean equipment and work sites.",NA,NA
"1558","51-9122","51-9122.00","Painters, Transportation Equipment","20689","Use lifting and moving machines. Move equipment or materials. Help painters reach places they need to paint.",NA,NA
"1559","51-9123","51-9123.00","Painting, Coating, and Decorating Workers","12527","Use coatings to protect or decorate surfaces. Coatings include paint, ink, and more. Use spray guns, pens, and brushes.","coating","A thin layer to cover the outside of something. Examples"
"1560","51-9123","51-9123.00","Painting, Coating, and Decorating Workers","12527","Use coatings to protect or decorate surfaces. Coatings include paint, ink, and more. Use spray guns, pens, and brushes.","surface","The outside of something."
"1561","51-9123","51-9123.00","Painting, Coating, and Decorating Workers","12529","Clean tools and equipment. Use solvents, brushes, and rags.","solvent","A liquid that dissolves, or breaks down, other substances."
"1562","51-9123","51-9123.00","Painting, Coating, and Decorating Workers","12530","Read job orders. Look closely at the item that needs work. Figure out what work methods and materials are needed.",NA,NA
"1563","51-9192","51-9192.00","Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","14370","Measure, weigh, or mix cleansers. Use tanks, rods, or tubes to do so.","cleanser","Something that cleans, like soap."
"1564","51-9192","51-9192.00","Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","14376","Adjust, clean, and grease machine parts. Use hand tools and grease guns.","parts","Pieces needed to make a whole machine work. Example"
"1565","51-9192","51-9192.00","Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders","14377","Load items into machines. Unload them after cleaning. Place them on conveyors or racks.","conveyor","Machine that moves products from one place to another, often rolling them along a belt."
"1566","51-9194","51-9194.00","Etchers and Engravers","14409","Treat items with acid. The acid will help cut patterns, designs, letters, and shapes.","acid","A chemical that can burn away or dissolve things."
"1567","51-9194","51-9194.00","Etchers and Engravers","14409","Treat items with acid. The acid will help cut patterns, designs, letters, and shapes.","designs","Pictures or patterns."
"1568","51-9194","51-9194.00","Etchers and Engravers","14378","Adjust the depth and size of cuts. Change worktable heights or machine-arm settings to do so.","depth","How deep something is."
"1569","51-9194","51-9194.00","Etchers and Engravers","14381","Figure out machine settings. Move bars to copy designs on rollers or plates.","designs","Pictures or patterns."
"1570","51-9198","51-9198.00","Helpers--Production Workers","12699","Load and unload items from machines and conveyors.","conveyor","Machine that moves products from one place to another, often rolling them along a belt."
"1571","51-9198","51-9198.00","Helpers--Production Workers","12693","Run machines used for production. Help workers who run machines.","production","The act of making something."
"1572","51-9198","51-9198.00","Helpers--Production Workers","12711","Direct workers to move products during production. Use signals to do so.","production","The act of making something."
"1573","51-9198","51-9198.00","Helpers--Production Workers","12711","Direct workers to move products during production. Use signals to do so.","signal","To give a sign that tells someone what to do or what not to do."
"1574","53-1011","53-1011.00","Aircraft Cargo Handling Supervisors","14434","Direct ground crews to load, unload, and arrange aircraft cargo or baggage.","arrange","Put something in order; fit together."
"1575","53-1011","53-1011.00","Aircraft Cargo Handling Supervisors","14434","Direct ground crews to load, unload, and arrange aircraft cargo or baggage.","cargo","Objects being sent from one place to another."
"1576","53-1011","53-1011.00","Aircraft Cargo Handling Supervisors","14432","Arrange cargo in a way that saves the most space.","arrange","Put something in order; fit together."
"1577","53-1011","53-1011.00","Aircraft Cargo Handling Supervisors","14432","Arrange cargo in a way that saves the most space.","cargo","Objects being sent from one place to another."
"1578","53-1011","53-1011.00","Aircraft Cargo Handling Supervisors","14433","Figure out load weights for different parts of the aircraft. Use charts and computers to do so.","load","A group of things to be carried together."
"1579","53-1031","53-1031.00","First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators"," 8585","Plan work tasks to meet goals. Choose which workers will do which jobs, and what equipment they will need.",NA,NA
"1580","53-1031","53-1031.00","First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators"," 8587","Direct workers who pump, move and store things. Direct workers who load or unload things or people.","store","To keep something for later use."
"1581","53-1031","53-1031.00","First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators"," 8589","Check orders, schedules, blueprints, and more. Figure out what work tasks need to be done in what order. Figure out shipping dates, amounts, and destinations.","schedule","A list of times and dates when tasks will get done."
"1582","53-1031","53-1031.00","First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators"," 8589","Check orders, schedules, blueprints, and more. Figure out what work tasks need to be done in what order. Figure out shipping dates, amounts, and destinations.","blueprint","A drawing that shows how something will be built."
"1583","53-1031","53-1031.00","First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators"," 8589","Check orders, schedules, blueprints, and more. Figure out what work tasks need to be done in what order. Figure out shipping dates, amounts, and destinations.","destination","The place where something or someone is going."
"1584","53-3011","53-3011.00","Ambulance Drivers and Attendants, Except Emergency Medical Technicians"," 8606","Drive ambulances or help drivers. Bring sick, hurt, or ill people where they need to go.",NA,NA
"1585","53-3011","53-3011.00","Ambulance Drivers and Attendants, Except Emergency Medical Technicians","21028","Make simple repairs to vehicles that carry sick, hurt, or ill people. Such vehicles include ambulances.","vehicle","A machine that moves or carries people or things, such as a truck, car, or tractor."
"1586","53-3011","53-3011.00","Ambulance Drivers and Attendants, Except Emergency Medical Technicians","21029","Clean and wash ambulances. Clean and wash equipment.",NA,NA
"1587","53-3021","53-3021.00","Bus Drivers, Transit and Intercity"," 3144","Check vehicles for problems. Check gas, oil, and water levels before vehicle is driven.","vehicle","A machine that moves or carries people or things, such as a truck, car, or tractor."
"1588","53-3021","53-3021.00","Bus Drivers, Transit and Intercity","18797","Keep records of cash receipts, ticket fares, and more. Update written records.","receipts","Records showing that payments were made or money is owed."
"1589","53-3021","53-3021.00","Bus Drivers, Transit and Intercity","18799","Keep a bus or motor coach clean.",NA,NA
"1590","53-3022","53-3022.00","Bus Drivers, School or Special Client"," 8810","Make sure vehicles are in good working order. Check tires, brakes, wipers, oil, fuel, water, and more.","vehicle","A machine that moves or carries people or things, such as a truck, car, or tractor."
"1591","53-3022","53-3022.00","Bus Drivers, School or Special Client"," 8815","Make and send in reports. Include things like the number of riders, hours worked, miles driven, fuel used, or fares paid.",NA,NA
"1592","53-3022","53-3022.00","Bus Drivers, School or Special Client"," 8817","Keep the inside of buses clean for riders.",NA,NA
"1593","53-3031","53-3031.00","Driver/Sales Workers"," 3154","Take money from riders. Make change and give receipts, as needed.","receipts","Records showing that payments were made or money is owed."
"1594","53-3031","53-3031.00","Driver/Sales Workers"," 3158","Drive trucks to drop off goods to buyers. Goods might include food, medicine, or newspapers.","goods","Things people buy."
"1595","53-3031","53-3031.00","Driver/Sales Workers"," 3156","Let repeat buyers know about new products or services. Tell them about price changes.","services","Helpful or useful things people can get."
"1596","53-3032","53-3032.00","Heavy and Tractor-Trailer Truck Drivers","10636","Check vehicles to make sure they are in good working order. Check that all equipment is working.","vehicle","A machine that moves or carries people or things, such as a truck, car, or tractor."
"1597","53-3032","53-3032.00","Heavy and Tractor-Trailer Truck Drivers","10653","Do simple upkeep to keep vehicles running well. Make easy fixes. Add oil, fuel, and coolant.","vehicle","A machine that moves or carries people or things, such as a truck, car, or tractor."
"1598","53-3032","53-3032.00","Heavy and Tractor-Trailer Truck Drivers","10653","Do simple upkeep to keep vehicles running well. Make easy fixes. Add oil, fuel, and coolant.","coolant","A liquid used to cool something or move heat from one part to another."
"1599","53-3032","53-3032.00","Heavy and Tractor-Trailer Truck Drivers","10658","Take care of cargo in trucks. For example, check temperature of frozen foods. Or, give food and water to livestock.","cargo","Objects being sent from one place to another."
"1600","53-3032","53-3032.00","Heavy and Tractor-Trailer Truck Drivers","10658","Take care of cargo in trucks. For example, check temperature of frozen foods. Or, give food and water to livestock.","temperature","Level of heat or cold."
"1601","53-3032","53-3032.00","Heavy and Tractor-Trailer Truck Drivers","10658","Take care of cargo in trucks. For example, check temperature of frozen foods. Or, give food and water to livestock.","livestock","Animals kept or raised on a farm or ranch."
"1602","53-3033","53-3033.00","Light Truck or Delivery Services Drivers"," 8615","Follow traffic laws and rules.",NA,NA
"1603","53-3033","53-3033.00","Light Truck or Delivery Services Drivers"," 8622","Keep records about vehicles, billing, and delivery. Follow rules to keep records in the right way.","vehicle","A machine that moves or carries people or things, such as a truck, car, or tractor."
"1604","53-3033","53-3033.00","Light Truck or Delivery Services Drivers"," 8622","Keep records about vehicles, billing, and delivery. Follow rules to keep records in the right way.","delivery","The act of bringing or sending an order to a buyer"
"1605","53-3033","53-3033.00","Light Truck or Delivery Services Drivers"," 8616","Make sure vehicles have the supplies and equipment they need. Check gas, oil, water, tire, lights, brakes, and more. Make sure everything works.","vehicle","A machine that moves or carries people or things, such as a truck, car, or tractor."
"1606","53-4011","53-4011.00","Locomotive Engineers","12752","Understand train orders and signals. Follow railroad rules and laws.","signal","A sign that tells someone what to do or what not to do."
"1607","53-4011","53-4011.00","Locomotive Engineers","12750","Check controls and settings for speed, power, and braking. Watch for any problems.",NA,NA
"1608","53-4011","53-4011.00","Locomotive Engineers","12751","Check railroad tracks for anything that might block them.",NA,NA
"1609","53-4021","53-4021.00","Railroad Brake, Signal, and Switch Operators","14437","Direct train engineers to add or take away train cars. Tell them when to start or stop. Use hands, lights, or radios to do so.",NA,NA
"1610","53-4021","53-4021.00","Railroad Brake, Signal, and Switch Operators","14438","Pull or push switches to put train cars on another track.",NA,NA
"1611","53-4021","53-4021.00","Railroad Brake, Signal, and Switch Operators","14441","Raise controls to add or take away train cars. Make trains longer or shorter.",NA,NA
"1612","53-4031","53-4031.00","Railroad Conductors and Yardmasters","10704","Make sure freight cars have the right route and destination info.","freight","Objects being sent from one place to another."
"1613","53-4031","53-4031.00","Railroad Conductors and Yardmasters","10704","Make sure freight cars have the right route and destination info.","route","Path or road to take."
"1614","53-4031","53-4031.00","Railroad Conductors and Yardmasters","10704","Make sure freight cars have the right route and destination info.","destination","The place where something or someone is going."
"1615","53-4031","53-4031.00","Railroad Conductors and Yardmasters","10710","Check with engineers to make sure timekeeping tools are correct. Make sure trains leave on time.",NA,NA
"1616","53-4031","53-4031.00","Railroad Conductors and Yardmasters","10707","Record when trains enter and leave stations. Keep track of tickets sold, money paid, and riders’ travel plans.",NA,NA
"1617","53-4041","53-4041.00","Subway and Streetcar Operators","12765","Run controls to open or close vehicle doors.","vehicle","A machine that moves or carries people or things, such as a truck, car, or train."
"1618","53-4041","53-4041.00","Subway and Streetcar Operators","12766","Drive and control public railway vehicles that carry riders. Those include subways, trains, streetcars, and more.","vehicle","A machine that moves or carries people or things, such as a truck, car, or train."
"1619","53-4041","53-4041.00","Subway and Streetcar Operators","12767","Check lights that warn of trains ahead or objects on the track. Watch for car and truck traffic at crossings. Stay alert to dangers.",NA,NA
"1620","53-5011","53-5011.00","Sailors and Marine Oilers","14480","Keep ship engines in good working order. Follow orders of ship officers.",NA,NA
"1621","53-5011","53-5011.00","Sailors and Marine Oilers","14474","Give orders to crew members who are cleaning the ship.",NA,NA
"1622","53-5011","53-5011.00","Sailors and Marine Oilers","14481","Send signals to other ships. Use lights, flags, and more.","signal","A sign that tells someone what to do or what not to do."
"1623","53-6021","53-6021.00","Parking Lot Attendants"," 3192","Greet drivers and open their car doors.",NA,NA
"1624","53-6021","53-6021.00","Parking Lot Attendants","20835","Give out tickets or place tags on windshields. Keep track of tag numbers, or attach to drivers’ keys. Give drivers matching tags to find their parked vehicles.","vehicle","A machine that moves or carries people or things, such as a truck, car, or train."
"1625","53-6021","53-6021.00","Parking Lot Attendants"," 3191","Park and return vehicles for drivers. Work in parking lots, garages, or new car lots.","vehicle","A machine that moves or carries people or things, such as a truck, car, or train."
"1626","53-6031","53-6031.00","Automotive and Watercraft Service Attendants","10712","Take cash payments and make change, if needed. Charge credit cards and give back receipts.","receipts","Records showing that payments were made or money is owed."
"1627","53-6031","53-6031.00","Automotive and Watercraft Service Attendants","20937","Clean windshields.",NA,NA
"1628","53-6031","53-6031.00","Automotive and Watercraft Service Attendants","10723","Keep customers’ records. Remind them by phone or mail when their vehicle needs repairs or upkeep.","vehicle","A machine that moves or carries people or things, such as a truck, car, or boat."
"1629","53-6061","53-6061.00","Transportation Attendants, Except Flight Attendants","13183","Figure out and help with seating plans.",NA,NA
"1630","53-6061","53-6061.00","Transportation Attendants, Except Flight Attendants","13176","Check to make sure equipment is working and safe. Do so before travel.",NA,NA
"1631","53-6061","53-6061.00","Transportation Attendants, Except Flight Attendants","13179","Greet riders as they get on board. Announce routes and stops.","route","Path to travel."
"1632","53-6061","53-6061.00","Transportation Attendants, Except Flight Attendants","13179","Greet riders as they get on board. Announce routes and stops.","announce","To make known, speak loudly."
"1633","53-7032","53-7032.00","Excavating and Loading Machine and Dragline Operators","12777","Use controls, foot pedals, and dials to run power machines. Those include power shovels, backhoes, and more.","dial","A knob that you turn."
"1634","53-7032","53-7032.00","Excavating and Loading Machine and Dragline Operators","12777","Use controls, foot pedals, and dials to run power machines. Those include power shovels, backhoes, and more.","backhoes","Digging machines."
"1635","53-7032","53-7032.00","Excavating and Loading Machine and Dragline Operators","12778","Set up and check equipment before it is used.",NA,NA
"1636","53-7032","53-7032.00","Excavating and Loading Machine and Dragline Operators","12783","Grease, adjust, or fix machines. Replace parts such as gears and bearings.","parts","Pieces needed to make a whole machine work. Example"
"1637","53-7051","53-7051.00","Industrial Truck and Tractor Operators"," 3202","Use controls to move lifting machines. Make machines load, unload, carry, or stack things.",NA,NA
"1638","53-7051","53-7051.00","Industrial Truck and Tractor Operators","15265","Check load to make sure it has the right products. Move it around the warehouse in a safe way. Make sure delivery is on time and complete.","load","A group of things to be carried together."
"1639","53-7051","53-7051.00","Industrial Truck and Tractor Operators","15265","Check load to make sure it has the right products. Move it around the warehouse in a safe way. Make sure delivery is on time and complete.","delivery","The act of bringing or sending an order to a buyer"
"1640","53-7051","53-7051.00","Industrial Truck and Tractor Operators"," 3201","Use controls to drive trucks, cars, or tractors. Move products between loading, production, and storage places.","production","The act of making something."
"1641","53-7051","53-7051.00","Industrial Truck and Tractor Operators"," 3201","Use controls to drive trucks, cars, or tractors. Move products between loading, production, and storage places.","storage","Somewhere to keep something for later use."
"1642","53-7061","53-7061.00","Cleaners of Vehicles and Equipment"," 4997","Wash objects and put them on drying racks. Or use cloth, tools, or air to dry surfaces.","surface","The outside of something."
"1643","53-7061","53-7061.00","Cleaners of Vehicles and Equipment"," 5007","Turn controls or remove hoses from machines and tanks. Do so to let water, cleansers, or steam out.","cleanser","Something that cleans, like soap."
"1644","53-7061","53-7061.00","Cleaners of Vehicles and Equipment"," 5008","Clean up trash. Save any material that can be still be used. Put into a container and take away from work site.",NA,NA
"1645","53-7062","53-7062.00","Laborers and Freight, Stock, and Material Movers, Hand","10781","Move things by hand or using trucks, tractors, or other equipment. Move things to and from storage and production places. Load and unload things from ships, vehicles, and more.","storage","Somewhere to keep something for later use."
"1646","53-7062","53-7062.00","Laborers and Freight, Stock, and Material Movers, Hand","10781","Move things by hand or using trucks, tractors, or other equipment. Move things to and from storage and production places. Load and unload things from ships, vehicles, and more.","production","The act of making something."
"1647","53-7062","53-7062.00","Laborers and Freight, Stock, and Material Movers, Hand","10781","Move things by hand or using trucks, tractors, or other equipment. Move things to and from storage and production places. Load and unload things from ships, vehicles, and more.","vehicle","A machine that moves or carries people or things, such as a truck, car, or train."
"1648","53-7062","53-7062.00","Laborers and Freight, Stock, and Material Movers, Hand","10779","Read work orders or follow spoken orders. Give workers tasks to do. Figure out what is needed to do a job.",NA,NA
"1649","53-7062","53-7062.00","Laborers and Freight, Stock, and Material Movers, Hand","10789","Keep storage places clean. Protect equipment that is in storage.","storage","Somewhere to keep something for later use."
"1650","53-7063","53-7063.00","Machine Feeders and Offbearers","14583","Check materials and products for flaws or damage. Make sure they meet standards.",NA,NA
"1651","53-7063","53-7063.00","Machine Feeders and Offbearers","14589","Weigh or measure materials and products. Make sure they meet standards.",NA,NA
"1652","53-7063","53-7063.00","Machine Feeders and Offbearers","14590","Fasten, package, and stack materials and products. Use hand tools and fastening tools.","stack","To put in a neat pile."
"1653","53-7063","53-7063.00","Machine Feeders and Offbearers","14590","Fasten, package, and stack materials and products. Use hand tools and fastening tools.","fasten","To attach firmly."
"1654","53-7064","53-7064.00","Packers and Packagers, Hand"," 3219","Clean containers, materials, and supplies. Clean work sites. Use cleansers and hand tools.","cleanser","Something that cleans, like soap."
"1655","53-7064","53-7064.00","Packers and Packagers, Hand"," 3214","Fill in forms and records. Fill in product, package, and order info.",NA,NA
"1656","53-7064","53-7064.00","Packers and Packagers, Hand"," 3220","Bring packages to buyers’ vehicles.","vehicle","A machine that moves or carries people or things, such as a truck, car, or tractor."
"1657","53-7072","53-7072.00","Pump Operators, Except Wellhead Pumpers","14609","Check controls and settings. Make sure all is normal. Check tank levels. Check temperature and pressure settings. Report problems.","temperature","Level of heat or cold."
"1658","53-7072","53-7072.00","Pump Operators, Except Wellhead Pumpers","14609","Check controls and settings. Make sure all is normal. Check tank levels. Check temperature and pressure settings. Report problems.","pressure","Force that presses on something."
"1659","53-7072","53-7072.00","Pump Operators, Except Wellhead Pumpers","14610","Keep records of what products are pumped, in what amounts. Keep track of equipment used, measurements, and times.","measurements","Things you can measure in numbers, like size, length, weight, and more."
"1660","53-7072","53-7072.00","Pump Operators, Except Wellhead Pumpers","14613","Turn controls. Start and run pumps. Make sure materials flow at the right speed.",NA,NA
"1661","53-7073","53-7073.00","Wellhead Pumpers"," 5013","Watch control panels during pumping. Make sure materials flow at the right speed, thickness, and pressure.","pressure","Force that presses on something."
"1662","53-7073","53-7073.00","Wellhead Pumpers"," 5014","Run engines and pumps to shut off wells. Follow production schedules. Switch the flow of oil into storage tanks.","production","The act of making something."
"1663","53-7073","53-7073.00","Wellhead Pumpers"," 5014","Run engines and pumps to shut off wells. Follow production schedules. Switch the flow of oil into storage tanks.","schedule","A list of times and dates when tasks will get done."
"1664","53-7073","53-7073.00","Wellhead Pumpers"," 5014","Run engines and pumps to shut off wells. Follow production schedules. Switch the flow of oil into storage tanks.","storage","Somewhere to keep something for later use."
"1665","53-7073","53-7073.00","Wellhead Pumpers"," 5019","Start engines and move oil out of storage tanks. Move oil into equipment that catches natural gas.","storage","Somewhere to keep something for later use."
"1666","53-7081","53-7081.00","Refuse and Recyclable Material Collectors"," 7171","Put fuel in trucks. Add oil and other fluids, like brake fluid.",NA,NA
"1667","53-7081","53-7081.00","Refuse and Recyclable Material Collectors"," 7172","Fill out reports when equipment doesn’t work right.",NA,NA
"1668","53-7081","53-7081.00","Refuse and Recyclable Material Collectors"," 7183","Plan schedules for trash pickup.","schedule","A list of times and dates when tasks will get done."
"1669","11-9061","11-9061.00","Funeral Service Managers","18835","Make sure a funeral home is following laws, rules, and standards.","funeral home","Business that prepares the dead for burial."
"1670","11-9061","11-9061.00","Funeral Service Managers","18838","Plan and carry out changes. Offer new services. Work to meet people’s needs and add to business earnings.","services","Helpful or useful things people can get."
"1671","11-9061","11-9061.00","Funeral Service Managers","18849","Figure out the skills that staff members need to learn or improve.",NA,NA
"1672","13-1022","13-1022.00","Wholesale and Retail Buyers, Except Farm Products","20714","Talk to sales and buying staff. Find out what customers need or want to buy.",NA,NA
"1673","13-1022","13-1022.00","Wholesale and Retail Buyers, Except Farm Products","   68","Allow for the payment or return of goods.","goods","Things people buy."
"1674","13-1022","13-1022.00","Wholesale and Retail Buyers, Except Farm Products","   77","Give clerks info to print on price tags. Tell them prices and any mark-ups or mark-downs. Give them code numbers, as needed.","mark-up","Amount to add to a price."
"1675","13-1022","13-1022.00","Wholesale and Retail Buyers, Except Farm Products","   77","Give clerks info to print on price tags. Tell them prices and any mark-ups or mark-downs. Give them code numbers, as needed.","mark-down","Amount to lower a price."
"1676","13-2072","13-2072.00","Loan Officers"," 3409","Study the financial records of people who ask for loans. Check whether it makes sense to give them loans.","financial","Having to do with money."
"1677","13-2072","13-2072.00","Loan Officers"," 3415","Learn about new kinds of loans to better meet customers’ needs. Keep up to date about new financial services or products.","financial","Having to do with money."
"1678","13-2072","13-2072.00","Loan Officers"," 3415","Learn about new kinds of loans to better meet customers’ needs. Keep up to date about new financial services or products.","services","Helpful or useful things people can get."
"1679","13-2072","13-2072.00","Loan Officers"," 3422","Watch over workers who give out loans.",NA,NA
"1680","13-2082","13-2082.00","Tax Preparers"," 7360","Keep clients’ taxes as low as you can. Use credits, deductions, other lawful methods.","deduction","Something that you can subtract to lower a total amount."
"1681","13-2082","13-2082.00","Tax Preparers"," 7358","Add up taxes owed or overpaid. Use adding machines and computers. Fill in forms. Follow steps listed on tax forms and in tax tables.","tax tables","Listings of how much tax people owe, based on earnings."
"1682","13-2082","13-2082.00","Tax Preparers","20363","Answer questions. Give tips about next year’s tax planning.",NA,NA
"1683","15-1134","15-1134.00","Web Developers","14707","Write code for Web apps or Web sites.","app","A simple program for a smartphone."
"1684","15-1134","15-1134.00","Web Developers","14698","Back up files from Web sites. Set up instant recovery in case of problems.","instant","In no time; right away."
"1685","15-1134","15-1134.00","Web Developers","14698","Back up files from Web sites. Set up instant recovery in case of problems.","recovery","The act of getting something back."
"1686","15-1134","15-1134.00","Web Developers","14696","Write, design, or edit Web page content. Give tasks to workers who make Web page content.","design","To come up with a plan or pattern."
"1687","15-1151","15-1151.00","Computer User Support Specialists"," 1282","Answer questions. Offer help. Fix hardware or software problems.",NA,NA
"1688","15-1151","15-1151.00","Computer User Support Specialists"," 1285","Make sure computers are working right from day to day.",NA,NA
"1689","15-1151","15-1151.00","Computer User Support Specialists"," 1287","Keep records about data use. Keep track of problems and actions taken. Keep track of updates and software installed.","data","Info stored on a computer, online, or in a network."
"1690","17-3027","17-3027.00","Mechanical Engineering Technicians"," 1487","Read controls to check electrical strength, input, and output. See how parts work at set temperatures.","parts","Pieces needed to make a whole machine work. Example"
"1691","17-3027","17-3027.00","Mechanical Engineering Technicians"," 1487","Read controls to check electrical strength, input, and output. See how parts work at set temperatures.","temperature","Level of heat or cold."
"1692","17-3027","17-3027.00","Mechanical Engineering Technicians"," 1479","Think of ways to change how products are made or put together. Share new methods with staff. Figure out how to make fixes.","method","A way of doing something."
"1693","17-3027","17-3027.00","Mechanical Engineering Technicians"," 1491","Test equipment and machines. Use testing tools to check electrical parts.","parts","Pieces needed to make a whole machine work. Example"
"1694","19-4031","19-4031.00","Chemical Technicians"," 1537","Run chemical tests in a lab. Test solids, liquids, and gases.","lab","Short for laboratory. A place where tests are done."
"1695","19-4031","19-4031.00","Chemical Technicians"," 1541","Keep lab tools and equipment in good working order. Clean them and kill germs.","lab","Short for laboratory. A place where tests are done."
"1696","19-4031","19-4031.00","Chemical Technicians"," 1541","Keep lab tools and equipment in good working order. Clean them and kill germs.","germ","A tiny living thing that spreads illness."
"1697","19-4031","19-4031.00","Chemical Technicians"," 1535","Check products to make sure they meet standards.",NA,NA
"1698","23-2091","23-2091.00","Court Reporters"," 8653","Take notes in shorthand. Use a shorthand machine that prints letters on a paper tape.","shorthand","A way of writing very quickly that shortens words and replaces some words with symbols."
"1699","23-2091","23-2091.00","Court Reporters"," 8656","Make an exact written or typed record of words spoken in court. Follow set guidelines.","exact","Without changes or mistakes."
"1700","23-2091","23-2091.00","Court Reporters"," 8659","File and store shorthand notes from court meetings.","shorthand","A way of writing very quickly that shortens words and replaces some words with symbols."
"1701","23-2091","23-2091.00","Court Reporters"," 8659","File and store shorthand notes from court meetings.","store","To keep something for later use."
"1702","25-1194","25-1194.00","Vocational Education Teachers, Postsecondary"," 6445","Watch over students when they use tools and equipment.",NA,NA
"1703","25-1194","25-1194.00","Vocational Education Teachers, Postsecondary"," 6449","Make reports and keep records. Keep track of grades, training, and who comes to class.",NA,NA
"1704","25-1194","25-1194.00","Vocational Education Teachers, Postsecondary"," 6456","Teach students a wide range of skills. Mix school subjects with work training.",NA,NA
"1705","25-2011","25-2011.00","Preschool Teachers, Except Special Education"," 6477","Get children used to a school setting. Greet them. Help them take off their coats. Find fun things for them to do.",NA,NA
"1706","25-2011","25-2011.00","Preschool Teachers, Except Special Education"," 6474","Get classrooms and activities ready for class.","activity","Something to do."
"1707","25-2011","25-2011.00","Preschool Teachers, Except Special Education"," 6473","Make sure students follow rules. Take action if they do not.",NA,NA
"1708","25-4031","25-4031.00","Library Technicians"," 1688","Put books and other materials on hold. Check them in and out of library.",NA,NA
"1709","25-4031","25-4031.00","Library Technicians","18512","Sort through books and other library materials. Keep lists and records of them. Return items to shelves, files, and storage places.","storage","Somewhere to keep something for later use."
"1710","25-4031","25-4031.00","Library Technicians"," 1711","File cards and records for library items. Follow set method.","method","A way of doing something."
"1711","25-9041","25-9041.00","Teacher Assistants"," 8696","Watch over students. Watch over classrooms, lunch rooms, school yards, field trips, and more.",NA,NA
"1712","25-9041","25-9041.00","Teacher Assistants"," 8697","Make sure students follow rules. Take action if they do not.",NA,NA
"1713","25-9041","25-9041.00","Teacher Assistants"," 8711","Help load and unload school buses.",NA,NA
"1714","27-1026","27-1026.00","Merchandise Displayers and Window Trimmers"," 9264","Put prices and helpful signs on goods or on displays.","goods","Things people buy."
"1715","27-1026","27-1026.00","Merchandise Displayers and Window Trimmers"," 9264","Put prices and helpful signs on goods or on displays.","displays","Things set up for show."
"1716","27-1026","27-1026.00","Merchandise Displayers and Window Trimmers","20752","Talk to managers, buyers, or staff about where to put displays and goods.","displays","Things set up for show."
